domain	mediabias_proscience	mediabias_questionblesources	mediabias_conspiracy_psydoscience
Covid.gov	1.0	0.0	0.0
Drugs.com	1.0	0.0	0.0
News-Medical.net	1.0	0.0	0.0
SciTechDaily.com	1.0	0.0	0.0
aaas.org	1.0	0.0	0.0
aap.org	1.0	0.0	0.0
adaa.org	1.0	0.0	0.0
aip.org	1.0	0.0	0.0
airspacemag.com	1.0	0.0	0.0
ajaonline.org	1.0	0.0	0.0
ajph.aphapublications.org	1.0	0.0	0.0
allianceforscience.cornell.edu	1.0	0.0	0.0
ama-assn.org	1.0	0.0	0.0
americanscientist.org	1.0	0.0	0.0
apa.org	1.0	0.0	0.0
aps.org	1.0	0.0	0.0
apsa.org	1.0	0.0	0.0
archaeology.org	1.0	0.0	0.0
astronomy.com	1.0	0.0	0.0
autisticadvocacy.org	1.0	0.0	0.0
bio.org	1.0	0.0	0.0
biomedcentral.com	1.0	0.0	0.0
biospace.com	1.0	0.0	0.0
bmj.com	1.0	0.0	0.0
britannica.com	1.0	0.0	0.0
cancer.org	1.0	0.0	0.0
carbonbrief.org	1.0	0.0	0.0
cdc.gov	1.0	0.0	0.0
climateactiontracker.org	1.0	0.0	0.0
climatecentral.org	1.0	0.0	0.0
climatefeedback.org	1.0	0.0	0.0
climatesciencewatch.org	1.0	0.0	0.0
cochrane.org	1.0	0.0	0.0
consumerlab.com	1.0	0.0	0.0
contagionlive.com	1.0	0.0	0.0
cosmosmagazine.com	1.0	0.0	0.0
disabilityscoop.com	1.0	0.0	0.0
discovermagazine.com	1.0	0.0	0.0
earthsky.org	1.0	0.0	0.0
eurekalert.org	1.0	0.0	0.0
everydayhealth.com	1.0	0.0	0.0
examine.com	1.0	0.0	0.0
fas.org	1.0	0.0	0.0
frontiersin.org	1.0	0.0	0.0
futurism.com	1.0	0.0	0.0
genengnews.com	1.0	0.0	0.0
geneticliteracyproject.org	1.0	0.0	0.0
healio.com	1.0	0.0	0.0
healthaffairs.org	1.0	0.0	0.0
healthdata.org	1.0	0.0	0.0
healthfeedback.org	1.0	0.0	0.0
healthline.com	1.0	0.0	0.0
hopkinsmedicine.org	1.0	0.0	0.0
ieee.org	1.0	0.0	0.0
insidescience.org	1.0	0.0	0.0
iop.org	1.0	0.0	0.0
ipcc.ch	1.0	0.0	0.0
irena.org	1.0	0.0	0.0
ispp.org	1.0	0.0	0.0
issues.org	1.0	0.0	0.0
journal.frontiersin.org	1.0	0.0	0.0
journals.sagepub.com	1.0	0.0	0.0
jstor.org	1.0	0.0	0.0
livescience.com	1.0	0.0	0.0
lung.org	1.0	0.0	0.0
mayoclinic.org	1.0	0.0	0.0
medicalnewstoday.com	1.0	0.0	0.0
medicalxpress.com	1.0	0.0	0.0
medpagetoday.com	1.0	0.0	0.0
medscape.com	1.0	0.0	0.0
mentaldaily.com	1.0	0.0	0.0
nasa.gov	1.0	0.0	0.0
nationalacademyofsciences.org	1.0	0.0	0.0
nationalgeographic.com	1.0	0.0	0.0
nature.com	1.0	0.0	0.0
nautil.um	1.0	0.0	0.0
ncbi.nlm.nih.gov	1.0	0.0	0.0
ncdc.noaa.gov	1.0	0.0	0.0
nejm.org	1.0	0.0	0.0
neurosciencenews.com	1.0	0.0	0.0
newatlas.com	1.0	0.0	0.0
newhumanist.org.uk	1.0	0.0	0.0
newscientist.com	1.0	0.0	0.0
nextbigfuture.com	1.0	0.0	0.0
nextobserver.com	1.0	0.0	0.0
nih.gov	1.0	0.0	0.0
noaa.gov	1.0	0.0	0.0
oceana.org	1.0	0.0	0.0
paho.org	1.0	0.0	0.0
phys.org	1.0	0.0	0.0
plos.org	1.0	0.0	0.0
pnas.org	1.0	0.0	0.0
popsci.com	1.0	0.0	0.0
popularmechanics.com	1.0	0.0	0.0
psychcentral.com	1.0	0.0	0.0
psychologytoday.com	1.0	0.0	0.0
psypost.org	1.0	0.0	0.0
public.wmo	1.0	0.0	0.0
quackwatch.org	1.0	0.0	0.0
quantamagazine.org	1.0	0.0	0.0
randi.org	1.0	0.0	0.0
realclearscience.com	1.0	0.0	0.0
realclimate.org	1.0	0.0	0.0
researchgate.net	1.0	0.0	0.0
resourcewatch.org	1.0	0.0	0.0
retractionwatch.com	1.0	0.0	0.0
scicentral.com	1.0	0.0	0.0
science.energy.gov	1.0	0.0	0.0
science.org	1.0	0.0	0.0
sciencealert.com	1.0	0.0	0.0
sciencebasedmedicine.org	1.0	0.0	0.0
scienceblogs.com	1.0	0.0	0.0
sciencedaily.com	1.0	0.0	0.0
sciencedirect.com	1.0	0.0	0.0
sciencefeedback.co	1.0	0.0	0.0
sciencehistory.org	1.0	0.0	0.0
scienceillustrated.com.au	1.0	0.0	0.0
sciencemediacentre.org	1.0	0.0	0.0
sciencenews.org	1.0	0.0	0.0
scientificamerican.com	1.0	0.0	0.0
scripps.ucsd.edu	1.0	0.0	0.0
seeker.com	1.0	0.0	0.0
significancemagazine.com	1.0	0.0	0.0
singularityhub.com	1.0	0.0	0.0
sites.agu.org	1.0	0.0	0.0
skepdic.com	1.0	0.0	0.0
skeptic.com	1.0	0.0	0.0
skepticalinquirer.org	1.0	0.0	0.0
skepticalraptor.com	1.0	0.0	0.0
skepticalscience.com	1.0	0.0	0.0
skeptics.com.au	1.0	0.0	0.0
skeptoid.com	1.0	0.0	0.0
skyandtelescope.com	1.0	0.0	0.0
smithsonianmag.com	1.0	0.0	0.0
societyforscience.org	1.0	0.0	0.0
space.com	1.0	0.0	0.0
technologyreview.com	1.0	0.0	0.0
techxplore.com	1.0	0.0	0.0
the-scientist.com	1.0	0.0	0.0
thelancet.com	1.0	0.0	0.0
thelogicofscience.com	1.0	0.0	0.0
understandrealitythroughscience.blogspot.com	1.0	0.0	0.0
universetoday.com	1.0	0.0	0.0
vaxopedia.org	1.0	0.0	0.0
verywell.com	1.0	0.0	0.0
verywellfamily.com	1.0	0.0	0.0
watchers.news	1.0	0.0	0.0
webmd.com	1.0	0.0	0.0
who.int	1.0	0.0	0.0
zmescience.com	1.0	0.0	0.0
100percentfedup.com	0.0	1.0	0.0
12minutos.com	0.0	1.0	0.0
2020conservative.com	0.0	1.0	0.0
24Jours.com	0.0	1.0	0.0
4Chan.org	0.0	1.0	0.0
AbcBusinessNews.com	0.0	1.0	0.0
Acting-man.com	0.0	1.0	0.0
BDnews24.com	0.0	1.0	0.0
Blacknews.com	0.0	1.0	0.0
Bongino.com	0.0	1.0	0.0
Breakingnews247.net	0.0	1.0	0.0
C19aspirin.com	0.0	1.0	0.0
C19bromhexine.com	0.0	1.0	0.0
C19budesonide.com	0.0	1.0	0.0
C19colchicine.com	0.0	1.0	0.0
C19curcumin.com	0.0	1.0	0.0
C19favipiravir.com	0.0	1.0	0.0
C19fluvoxamine.com	0.0	1.0	0.0
C19hcq.com	0.0	1.0	0.0
C19ic.com	0.0	1.0	0.0
C19ivermectin.com	0.0	1.0	0.0
C19melatonin.com	0.0	1.0	0.0
C19mp.com	0.0	1.0	0.0
C19nitazoxanide.com	0.0	1.0	0.0
C19ns.com	0.0	1.0	0.0
C19pvpi.com	0.0	1.0	0.0
C19regn.com	0.0	1.0	0.0
Constative.com	0.0	1.0	0.0
DailyBoulder.com	0.0	1.0	0.0
DavidHarrisJr.com	0.0	1.0	0.0
DiamondandSilkinc.com	0.0	1.0	0.0
Evil.News	0.0	1.0	0.0
FL24.net	0.0	1.0	0.0
Ghost.Report	0.0	1.0	0.0
Gript.ie	0.0	1.0	0.0
Grunge.com	0.0	1.0	0.0
Gucmakale.com	0.0	1.0	0.0
Hannity.com	0.0	1.0	0.0
Katehon.com	0.0	1.0	0.0
Kokomostandard.com	0.0	1.0	0.0
Lafayettetimes.com	0.0	1.0	0.0
MSMLies.com	0.0	1.0	0.0
NPR.News	0.0	1.0	0.0
News.cn	0.0	1.0	0.0
Newsservis.com	0.0	1.0	0.0
Populist.Press	0.0	1.0	0.0
Revolver.News	0.0	1.0	0.0
RushLimbaugh.com	0.0	1.0	0.0
Sohu.com	0.0	1.0	0.0
ThePoliticalBrief.com	0.0	1.0	0.0
TheSpectator.info	0.0	1.0	0.0
ToddStarnes.com	0.0	1.0	0.0
UncoverDC.com	0.0	1.0	0.0
UsLibertyWire.club	0.0	1.0	0.0
UsRight-Left.com	0.0	1.0	0.0
WayneDupree.com	0.0	1.0	0.0
WhatRegistrater.com	0.0	1.0	0.0
WorldGreyNews.com	0.0	1.0	0.0
YourNews.com	0.0	1.0	0.0
aapsonline.org	0.0	1.0	0.0
acpeds.org	0.0	1.0	0.0
activistmommy.com	0.0	1.0	0.0
adamscountytimes.com	0.0	1.0	0.0
adareporter.com	0.0	1.0	0.0
adflegal.org	0.0	1.0	0.0
afa.net	0.0	1.0	0.0
albanystandard.com	0.0	1.0	0.0
albawaba.com	0.0	1.0	0.0
allnewspipeline.com	0.0	1.0	0.0
almasdarnews.com	0.0	1.0	0.0
alohastatenews.com	0.0	1.0	0.0
alphanewsmn.com	0.0	1.0	0.0
america.cgtn.com	0.0	1.0	0.0
americadaily.com	0.0	1.0	0.0
americamaxnews.com	0.0	1.0	0.0
americanactionnews.com	0.0	1.0	0.0
americanconservativemedia.com	0.0	1.0	0.0
americanconservativemovement.com	0.0	1.0	0.0
americangulag.org	0.0	1.0	0.0
americanlibertyreport.com	0.0	1.0	0.0
americanlookout.com	0.0	1.0	0.0
americanpatriotdaily.com	0.0	1.0	0.0
americanpeopledaily.com	0.0	1.0	0.0
americanprinciplesproject.org	0.0	1.0	0.0
americansarepissed.com	0.0	1.0	0.0
americansfortruth.com	0.0	1.0	0.0
americanthinker.com	0.0	1.0	0.0
americantruthtoday.com	0.0	1.0	0.0
americasfreedomfighters.com	0.0	1.0	0.0
americasnewssource.com	0.0	1.0	0.0
amestoday.com	0.0	1.0	0.0
amren.com	0.0	1.0	0.0
analyzingamerica.org	0.0	1.0	0.0
andersonreporter.com	0.0	1.0	0.0
angrypatriotmovement.net	0.0	1.0	0.0
antelopevalleytoday.com	0.0	1.0	0.0
arabnews.com	0.0	1.0	0.0
archaeology-world.com	0.0	1.0	0.0
